nohup: ignoring input

========================= ROUND 1 =========================
Target: 200000 IDs
-> Batch progress: 20000/200000 | Success: 18682
-> Batch progress: 20100/200000 | Success: 18776
-> Batch progress: 20200/200000 | Success: 18875
-> Batch progress: 20300/200000 | Success: 18973
-> Batch progress: 20400/200000 | Success: 19071
-> Batch progress: 20500/200000 | Success: 19169
-> Batch progress: 20600/200000 | Success: 19266
-> Batch progress: 20700/200000 | Success: 19363
-> Batch progress: 20800/200000 | Success: 19459
-> Batch progress: 20900/200000 | Success: 19554
-> Batch progress: 21000/200000 | Success: 19652
-> Batch progress: 21100/200000 | Success: 19749
-> Batch progress: 21200/200000 | Success: 19846
-> Batch progress: 21300/200000 | Success: 19945
-> Batch progress: 21400/200000 | Success: 20044
-> Batch progress: 21500/200000 | Success: 20142
-> Batch progress: 21600/200000 | Success: 20237
-> Batch progress: 21700/200000 | Success: 20333
-> Batch progress: 21800/200000 | Success: 20429
-> Batch progress: 21900/200000 | Success: 20529
-> Batch progress: 22000/200000 | Success: 20628
-> Batch progress: 22100/200000 | Success: 20725
-> Batch progress: 22200/200000 | Success: 20821
-> Batch progress: 22300/200000 | Success: 20917
-> Batch progress: 22400/200000 | Success: 21017
-> Batch progress: 22500/200000 | Success: 21115
-> Batch progress: 22600/200000 | Success: 21213
-> Batch progress: 22700/200000 | Success: 21309
-> Batch progress: 22800/200000 | Success: 21407
-> Batch progress: 22900/200000 | Success: 21504
-> Batch progress: 23000/200000 | Success: 21602
-> Batch progress: 23100/200000 | Success: 21698
-> Batch progress: 23200/200000 | Success: 21798
-> Batch progress: 23300/200000 | Success: 21896
-> Batch progress: 23400/200000 | Success: 21995
-> Batch progress: 23500/200000 | Success: 22093
-> Batch progress: 23600/200000 | Success: 22191
-> Batch progress: 23700/200000 | Success: 22288
-> Batch progress: 23800/200000 | Success: 22387
-> Batch progress: 23900/200000 | Success: 22485
-> Batch progress: 24000/200000 | Success: 22584
-> Batch progress: 24100/200000 | Success: 22678
-> Batch progress: 24200/200000 | Success: 22775
-> Batch progress: 24300/200000 | Success: 22873
-> Batch progress: 24400/200000 | Success: 22972
-> Batch progress: 24500/200000 | Success: 23068
-> Batch progress: 24600/200000 | Success: 23166
-> Batch progress: 24700/200000 | Success: 23264
-> Batch progress: 24800/200000 | Success: 23363
-> Batch progress: 24900/200000 | Success: 23461
-> Batch progress: 25000/200000 | Success: 23557
-> Batch progress: 25100/200000 | Success: 23652
-> Batch progress: 25200/200000 | Success: 23750
-> Batch progress: 25300/200000 | Success: 23848
-> Batch progress: 25400/200000 | Success: 23945
-> Batch progress: 25500/200000 | Success: 24044
-> Batch progress: 25600/200000 | Success: 24144
-> Batch progress: 25700/200000 | Success: 24243
-> Batch progress: 25800/200000 | Success: 24342
-> Batch progress: 25900/200000 | Success: 24442
-> Batch progress: 26000/200000 | Success: 24539
-> Batch progress: 26100/200000 | Success: 24638
-> Batch progress: 26200/200000 | Success: 24738
-> Batch progress: 26300/200000 | Success: 24834
-> Batch progress: 26400/200000 | Success: 24932
-> Batch progress: 26500/200000 | Success: 25030
-> Batch progress: 26600/200000 | Success: 25126
-> Batch progress: 26700/200000 | Success: 25224
-> Batch progress: 26800/200000 | Success: 25322
-> Batch progress: 26900/200000 | Success: 25418
-> Batch progress: 27000/200000 | Success: 25512
-> Batch progress: 27100/200000 | Success: 25607
-> Batch progress: 27200/200000 | Success: 25704
-> Batch progress: 27300/200000 | Success: 25802
-> Batch progress: 27400/200000 | Success: 25899
-> Batch progress: 27500/200000 | Success: 25994
-> Batch progress: 27600/200000 | Success: 26090
-> Batch progress: 27700/200000 | Success: 26184
-> Batch progress: 27800/200000 | Success: 26284
-> Batch progress: 27900/200000 | Success: 26375
-> Batch progress: 28000/200000 | Success: 26467
-> Batch progress: 28100/200000 | Success: 26560
-> Batch progress: 28200/200000 | Success: 26656
-> Batch progress: 28300/200000 | Success: 26747
-> Batch progress: 28400/200000 | Success: 26843
-> Batch progress: 28500/200000 | Success: 26934
-> Batch progress: 28600/200000 | Success: 27032
-> Batch progress: 28700/200000 | Success: 27128
-> Batch progress: 28800/200000 | Success: 27226
-> Batch progress: 28900/200000 | Success: 27324
-> Batch progress: 29000/200000 | Success: 27423
-> Batch progress: 29100/200000 | Success: 27517
-> Batch progress: 29200/200000 | Success: 27614
-> Batch progress: 29300/200000 | Success: 27708
-> Batch progress: 29400/200000 | Success: 27803
-> Batch progress: 29500/200000 | Success: 27900
-> Batch progress: 29600/200000 | Success: 27995
-> Batch progress: 29700/200000 | Success: 28091
-> Batch progress: 29800/200000 | Success: 28184
-> Batch progress: 29900/200000 | Success: 28282
-> Batch progress: 30000/200000 | Success: 28382
-> Batch progress: 30100/200000 | Success: 28480
-> Batch progress: 30200/200000 | Success: 28579
-> Batch progress: 30300/200000 | Success: 28677
-> Batch progress: 30400/200000 | Success: 28776
-> Batch progress: 30500/200000 | Success: 28876
-> Batch progress: 30600/200000 | Success: 28974
-> Batch progress: 30700/200000 | Success: 29073
-> Batch progress: 30800/200000 | Success: 29169
-> Batch progress: 30900/200000 | Success: 29265
-> Batch progress: 31000/200000 | Success: 29363
-> Batch progress: 31100/200000 | Success: 29460
-> Batch progress: 31200/200000 | Success: 29558
-> Batch progress: 31300/200000 | Success: 29658
-> Batch progress: 31400/200000 | Success: 29758
-> Batch progress: 31500/200000 | Success: 29858
-> Batch progress: 31600/200000 | Success: 29955
-> Batch progress: 31700/200000 | Success: 30050
-> Batch progress: 31800/200000 | Success: 30144
-> Batch progress: 31900/200000 | Success: 30241
-> Batch progress: 32000/200000 | Success: 30340
-> Batch progress: 32100/200000 | Success: 30439
-> Batch progress: 32200/200000 | Success: 30537
-> Batch progress: 32300/200000 | Success: 30637
-> Batch progress: 32400/200000 | Success: 30736
-> Batch progress: 32500/200000 | Success: 30835
-> Batch progress: 32600/200000 | Success: 30932
-> Batch progress: 32700/200000 | Success: 31029
-> Batch progress: 32800/200000 | Success: 31125
-> Batch progress: 32900/200000 | Success: 31222
-> Batch progress: 33000/200000 | Success: 31321
-> Batch progress: 33100/200000 | Success: 31417
-> Batch progress: 33200/200000 | Success: 31507
-> Batch progress: 33300/200000 | Success: 31599
-> Batch progress: 33400/200000 | Success: 31685
-> Batch progress: 33500/200000 | Success: 31766
-> Batch progress: 33600/200000 | Success: 31851
-> Batch progress: 33700/200000 | Success: 31927
-> Batch progress: 33800/200000 | Success: 32012
-> Batch progress: 33900/200000 | Success: 32093
-> Batch progress: 34000/200000 | Success: 32180
-> Batch progress: 34100/200000 | Success: 32262
-> Batch progress: 34200/200000 | Success: 32345
-> Batch progress: 34300/200000 | Success: 32435
-> Batch progress: 34400/200000 | Success: 32515
-> Batch progress: 34500/200000 | Success: 32603
-> Batch progress: 34600/200000 | Success: 32679
-> Batch progress: 34700/200000 | Success: 32754
-> Batch progress: 34800/200000 | Success: 32842
-> Batch progress: 34900/200000 | Success: 32934
-> Batch progress: 35000/200000 | Success: 33028
-> Batch progress: 35100/200000 | Success: 33126
-> Batch progress: 35200/200000 | Success: 33220
-> Batch progress: 35300/200000 | Success: 33317
-> Batch progress: 35400/200000 | Success: 33413
-> Batch progress: 35500/200000 | Success: 33508
-> Batch progress: 35600/200000 | Success: 33604
-> Batch progress: 35700/200000 | Success: 33696
-> Batch progress: 35800/200000 | Success: 33790
-> Batch progress: 35900/200000 | Success: 33881
-> Batch progress: 36000/200000 | Success: 33973
-> Batch progress: 36100/200000 | Success: 34071
-> Batch progress: 36200/200000 | Success: 34168
-> Batch progress: 36300/200000 | Success: 34258
-> Batch progress: 36400/200000 | Success: 34350
-> Batch progress: 36500/200000 | Success: 34445
-> Batch progress: 36600/200000 | Success: 34534
-> Batch progress: 36700/200000 | Success: 34625
-> Batch progress: 36800/200000 | Success: 34722
-> Batch progress: 36900/200000 | Success: 34815
-> Batch progress: 37000/200000 | Success: 34907
-> Batch progress: 37100/200000 | Success: 34999
-> Batch progress: 37200/200000 | Success: 35088
-> Batch progress: 37300/200000 | Success: 35186
-> Batch progress: 37400/200000 | Success: 35285
-> Batch progress: 37500/200000 | Success: 35382
-> Batch progress: 37600/200000 | Success: 35473
